source,title,link,summary,time,is_valuable,category,suggest_action
ChainFeeds,ChainFeeds Newsletter 每日精选 Web3 深度投研「简报」+ AI 驱动的热点新闻榜单，帮你做出聪明决策,https://substack.chainfeeds.xyz/p/eigenda-v2-galaxy-researchdatcos,"<p>投研早报丨EigenDA V2 上线：有哪些性能优化/山寨币投资指南：哪些关键指标值的关注/Galaxy Research：数字资产金库公司（DATCOs）的崛起</p><p><a href=""https://www.chainfeeds.xyz/rss"">内容来源</a></p><hr /><p><a href=""https://chainfeeds.substack.com""><img alt=""https://chainfeeds.substack.com"" src=""https://images.chainfeeds.xyz/image/6433ea2e3c11f.png"" width=""100%"" /></a></p>",2025-08-02,True,行业趋势 / 热点叙事,订阅 ChainFeeds Newsletter 以获取深度投研简报和热点新闻榜单
PANews_推荐,财新：香港或把首批稳定币牌照范围缩小为三到四家,https://www.panewslab.com/zh/articles/64c3faef-435d-40f9-9565-150a05adf840,PANews 8月2日消息，据财新网报道，香港或把首批稳定币牌照范围缩小为三到四家，香港金管局在和中国央行的沟通中意识到，双方在监管备忘录的架构下，主要监管责任与风险集中于香港金管局。多家中资银行在港分行及中资券商在港分支机构对参与香港合规稳定币业务跃跃欲试，包括中银香港、交银香港、建设银行（亚洲）...,2025-08-02,True,行业趋势 / 热点叙事,关注香港稳定币牌照发放进展，评估潜在的市场影响
PANews_推荐,香港稳定币进入合规时代：牌照角逐和场景探路,https://www.panewslab.com/zh/articles/68df21cd-913f-46fc-a7e4-16eb0fa83d6a,PANews 8月2日消息，据界面新闻报道，随着《稳定币条例》在8月1日正式生效，香港进入稳定币合规时代，牌照申请、场景探索成为热议话题。&ldquo;目前牌照申请热度很高，我们接触到的就有数十家。&rdquo;从事虚拟资产合规业务的人士吴君告诉界面新闻，尽管从8月起才正式受理申请，但已有很多内地背...,2025-08-02,True,行业趋势 / 热点叙事,研究香港稳定币合规化对市场的影响，关注牌照申请动态
PANews_推荐,以太坊财库公司Bitmine董事长：若按基本面估算ETH价格应为1.5万美元,https://www.panewslab.com/zh/articles/fa9c04a4-e299-4f6e-b136-ce4456161981,PANews 8月2日消息，据CoinDesk报道，Fundstrat联合创始人兼以太坊财库公司Bitmine Immersion (BMNR)董事长Tom Lee表示，加密货币市场应该会反弹，一些投资者并不相信这种反弹是真实的，而这恰恰是加密市场可能会走高的原因，因为&ldquo;自2020年以来...,2025-08-02,True,投资参考,分析 Tom Lee 的观点，评估 ETH 的基本面价值
PANews_推荐,PA日报 | 非农数据爆冷或引全球市场动荡；比特币现货ETF单日净流出8.12亿美元，为历史第二高,https://www.panewslab.com/zh/articles/3efeb8e8-8c86-47d6-8e30-6e9db03d177d,特朗普要求解雇美劳工统计局局长；美股三大指数集体收跌，加密货币板块跌幅居前；OpenAI完成83亿美元融资，估值达3000亿美元；ARK Invest昨日增持约3576万美元COIN和1873万美元的BMNR股票。,2025-08-02,True,风险预警,关注非农数据对全球市场的影响，谨慎调整投资策略
PANews_推荐,特朗普次子Eric Trump：再说一次，逢低买入BTC和ETH,https://www.panewslab.com/zh/articles/9135e653-47f5-4167-b45c-fcb183cd450c,PANews 8月2日消息，特朗普次子Eric Trump在X平台转发其2月25日市场低点时的推文并表示：再说一次，逢低买入BTC和ETH。,2025-08-02,True,投资参考,评估市场情绪，考虑逢低买入 BTC 和 ETH 的策略
PANews_推荐,"鲸鱼0xF436过去8小时再度增持10,245枚ETH，价值约3600万美元",https://www.panewslab.com/zh/articles/2861489f-201d-43f4-b3fa-71bc3a252cdc,"据 Lookonchain 监测，鲸鱼 0xF436 继续购买 ETH，在过去 8 小时内从交易所提取了另外 10,245 枚 ETH（3600 万美元）。",2025-08-02,True,投资参考,跟踪鲸鱼地址的交易行为，分析其对 ETH 价格的影响
PANews_推荐,Arthur Hayes：比特币将测试10万美元，以太坊将测试3000美元,https://www.panewslab.com/zh/articles/a981af3a-ba34-44e1-b382-a6d099c7f37b,Arthur Hayes 在 X 平台回应早间的获利了结操作：“美国关税法案将在第三季度到期......至少非农数据公布后市场是这么认为的。没有哪个主要经济体能够快速创造足够的信贷来提振名义GDP。所以比特币会测试 10 万美元，以太坊会测试 3000 美元。更多信息请参加我 8 月 25 日在东京 WebX Asia 的主题演讲。我要去放松了。”,2025-08-02,True,投资参考,关注 Arthur Hayes 的市场预测，评估比特币和以太坊的价格走势
PANews_推荐,ARK Invest昨日增持约3576万美元COIN和1873万美元的BMNR股票,https://www.panewslab.com/zh/articles/ada4bb22-6f52-4da3-88f1-230cfdaea782,"ARK Invest 旗下 ARKK、ARKW 和 ARKF 三只基金昨日合计增持 94,678 股 Coinbase 股票，总价值约 3576 万美元。其中 ARKK 增持 71,809 股，ARKW 增持 14,822 股，ARKF 增持 8,047 股。此外 Ark Invest 还买入了 540,712 股以太坊财务公司 BitMine（BMNR）股票，价值约 1873 万美元。",2025-08-02,True,投资参考,关注ARK Invest的投资动向，评估COIN和BMNR的投资潜力
PANews_推荐,美SEC主席发起“加密项目”倡议后，美国人也将能领空投了,https://www.panewslab.com/zh/articles/32dd3247-59d9-45f2-b87f-052add2271a1,将美国打造为全球加密之都或许不仅仅是口号。,2025-08-02,True,行业趋势 / 热点叙事,关注美国SEC的加密政策变化，评估其对空投市场的影响
PANews_推荐,Baby BTC Strategic Capital与纳斯达克上市公司ATA Creativity Global签署条款清单，控股上市公司收购Baby代币深耕BTCFi,https://www.panewslab.com/zh/articles/11b06652-a3a3-499d-b784-5d0d60b015dc,Baby Capital将认购公司总额3000万美元的新股，同时获得7000万美元的认股权证，此次总投资规模达1亿美元。,2025-08-02,True,投资参考,研究Baby BTC Strategic Capital的投资策略，评估ATA Creativity Global的转型潜力
PANews_推荐,ATA Creativity Global 获 Baby BTC Strategic Capital 1 亿美元控股，转型 BTCFi上市平台,https://www.panewslab.com/zh/articles/6685a943-b6fb-4c0a-9e2f-e5a4f5795511,据官方消息，纳斯达克上市公司 ATA Creativity Global（Nasdaq: AACG）宣布与由 Babylon 基金会作为 LP 领投的 Baby BTC Strategic Capital 签署协议，后者将以 1 亿美元总额控股 ATA，包括 3000 万美元新股与 7000 万美元认股权证，并重组董事会。,2025-08-02,True,投资参考,深入研究Babylon基金会的投资动向，评估BTCFi领域的发展前景
PANews_推荐,持续20日净流入遭终结，以太坊现货ETF昨日净流出1.52亿美元,https://www.panewslab.com/zh/articles/7f9daf2a-f443-49e9-9859-9c4c75bfc4e9,昨日单日净流出最多的以太坊现货 ETF 为灰度（Grayscale）以太坊迷你信托 ETF ETH，单日净流出为 4768.46 万美元，目前 ETH 历史总净流入达 11.50 亿美元。,2025-08-02,True,风险预警,关注以太坊现货ETF的资金流动情况，评估市场情绪变化
PANews_推荐,比特币现货ETF昨日净流出8.12亿美元，为历史第二高,https://www.panewslab.com/zh/articles/f3f2001f-047c-4cac-83f7-c45bed4668e2,昨日单日净流出最多的比特币现货 ETF 为富达 (Fidelity） ETF FBTC，单日净流出为 3.31 亿美元，目前 FBTC 历史总净流入达 120.83 亿美元。,2025-08-02,True,风险预警,关注比特币现货ETF的资金流动情况，评估市场情绪变化
PANews_推荐,疑属于Anchorage Digital的地址正通过Galaxy Digital OTC买入14933枚ETH,https://www.panewslab.com/zh/articles/39524f56-5cdf-4d76-957d-ce75f9168a9d,"据 @ai_9684xtpa 监测，疑似归属于 Anchorage Digital 的地址似乎正通过 Galaxy Digital OTC 买入 14933 ETH，价值 5207 万美元。4 小时前几乎是 ETH 的反弹起点，接收均价 3,487 美元；目前代币已全部转移至地址 0x18A...327Ea。",2025-08-02,True,投资参考,跟踪Anchorage Digital和Galaxy Digital的大额交易，评估ETH的市场动向
PANews_推荐,年化15%+ 回撤不足2%，Neutral如何用机构风控“稳”吃JLP红利？,https://www.panewslab.com/zh/articles/dxc37t3a,JLP 能 1 年翻 3 倍，也能 3 月跌 30%。散户怎么对冲风险，让它「只涨不跌」？,2025-08-02,True,投资参考,研究Neutral的风险对冲策略，评估JLP的投资价值
PANews_推荐,巨鲸“The White Whale”：昨晚暴跌并未导致被清算，但已放弃部分SOL多头仓位,https://www.panewslab.com/zh/articles/0ff048f3-962f-4ef2-ac56-f1118b1caa23,PANews 8月2日消息，巨鲸&ldquo;The White Whale&rdquo;在X平台发文表示：&ldquo;很多人关心在过去24小时市场&ldquo;血腥屠杀&rdquo;之后过得怎么样，我在CEX中有大约500万枚稳定币，但由于某种原因提款未能处理，导致不得不做出决定放弃某个多头仓位...,2025-08-02,True,风险预警,关注巨鲸The White Whale的交易行为，评估市场波动风险
PANews_推荐,Arthur Hayes过去6小时内合计售出约1335万美元的ETH、ENA和PEPE,https://www.panewslab.com/zh/articles/7f2c59d0-c8ba-48dd-890b-b19821ec7f3b,"包括 2,373 枚 ETH、776 万枚 ENA 和 388.6 亿枚 PEPE。",2025-08-02,True,风险预警,跟踪Arthur Hayes的交易行为，评估ETH、ENA和PEPE的市场风险
PANews_推荐,一周精选丨以太坊创世十周年；香港稳定币新政落地；加密市场回调，山寨币暴跌,https://www.panewslab.com/zh/articles/w2nn3ypp,以太坊创世十周年，加密社区热烈庆祝；香港稳定币新政于8月1日落地，合规化为主调；加密市场回调，山寨币暴跌。,2025-08-02,True,行业趋势 / 热点叙事,关注以太坊生态发展及香港稳定币政策后续影响
PANews_推荐,Uniswap、a16z及其盟友敦促参议院为DeFi设立专门监管框架，并提出四个关键目标,https://www.panewslab.com/zh/articles/25c21d95-f8d3-47f5-9da7-91bb481602fa,区分 DeFi 开发者和中心化中介机构；明确定义哪些中介机构需要向政府注册；确定协议是否去中心化的标准；以及技术中立的监管。,2025-08-02,True,行业趋势 / 热点叙事,跟踪 DeFi 监管框架进展，评估对相关项目的影响
PANews_推荐,Block如何利用标普500资格，推动华尔街万亿资本涌入BTC？,https://www.panewslab.com/zh/articles/9xft4fi1,Block 入选标普 500 引发百亿美元被动资金涌入，Jack Dorsey 正借助华尔街的力量推动比特币走向主流。,2025-08-02,True,投资参考,关注 Block 入选标普 500 对比特币市场流动性的长期影响
PANews_推荐,"SharpLink Gaming过去7小时入金1.08亿USDC，目前已买进14,933枚ETH",https://www.panewslab.com/zh/articles/02e9b41d-d920-47ee-ae5c-c52026064b3a,目前累计购进 46.4 万枚 ETH，浮盈 2.14 亿美元。,2025-08-02,True,投资参考,监测 SharpLink Gaming 的 ETH 持仓动向及市场反应
PANews_推荐,一新地址过去三天累计囤积79461.38枚ETH，目前浮亏2205.6万美元,https://www.panewslab.com/zh/articles/e0a7ff6f-54a8-4206-812a-7eca958926b6,其中 3 小时前下跌时又从 Galaxy Digital 处接收 16495.15 ETH（约 5850 万美元），将其整体仓位的 ETH 均价降低至 3763.53 美元。,2025-08-02,True,风险预警,分析大额 ETH 持仓浮亏可能引发的连锁市场风险
PANews_推荐,美股三大指数集体收跌，加密货币板块跌幅居前,https://www.panewslab.com/zh/articles/a2b8c66d-fcee-4d14-9d3a-624ae13cca97,据财联社报道，美股三大指数集体收跌，道指跌1.23%，本周累计下跌2.92%，纳指跌2.24%，本周累计下跌2.17%，标普500指数跌1.6%，本周累计下跌2.36%。加密货币板块跌幅居前，Coinbase跌超16%，Strategy、Circle跌超8%。热门科技股普跌，亚马逊跌超8%，Meta跌超3%，苹果、英伟达跌超2%，特斯拉、微软、谷歌跌超1%。,2025-08-02,True,风险预警,警惕加密货币板块与美股联动下跌风险，调整短期交易策略
PANews_推荐,纳斯达克上市公司DevvStream Corp.购入1000万美元比特币和Solana,https://www.panewslab.com/zh/articles/c021b05e-bca0-4d33-ba5e-7ac33db5678d,纳斯达克上市碳管理公司 DevvStream（股票代码 DEVS）宣布启动加密资产储备战略，向 Solana 和比特币投资 1000 万美元。该公司此前已通过优先担保可转换债券筹集了 3 亿美元用于购买加密货币。DevvStream 还宣布，计划将与 Helena Global Investment Opportunities 的现有股权信贷额度扩大至 3 亿美元，用于购买更多加密货币，并“加速对数字和环境基础设施的投资”。,2025-08-02,True,投资参考,研究上市公司加密资产配置趋势，关注 Solana 生态机会
PANews_快讯,香港金管局：警惕虚假稳定币持牌诈骗，持有未受监管稳定币须自行承担风险,https://www.panewslab.com/zh/articles/847bb05d-bf49-4ec6-8f0b-a802c206fc4c,PANews 8月2日消息，香港金管局官方发布安全提示，警惕虚假稳定币持牌诈骗，香港《稳定币条例》正式生效，稳发行人监管制度也同步开始实施，监管制度仍然在起步阶段，监管理念上会采取&ldquo;先严，走稳&rdquo;方针。金管局特别提醒市场参与者在与进行公众沟通时应谨慎行事，避免发表引起误解或造成...,2025-08-02,True,风险预警,核查稳定币合规资质，避免参与未受监管项目
PANews_快讯,“内幕巨鲸”已开设1111枚BTC、22222枚ETH、333万枚XRP、44444万枚SOL空单,https://www.panewslab.com/zh/articles/5ef66caf-6599-4155-a4d6-3c75cf8018df,PANews 8月2日消息，据链上分析师余烬在X平台发文表示，&ldquo;内幕巨鲸&rdquo;从昨天凌晨开空以来已经有641万美元的浮盈，目前他持有BTC、ETH、XRP、SOL 四个代币的空单，开设空单的数量分别按1、2、3、4顺序：1111 枚 BTC、22222 枚 ETH、333 万枚...,2025-08-02,True,风险预警,关注市场波动，谨慎评估持仓风险
PANews_快讯,Bitmax增持56.0445枚BTC，总持仓量突破500枚,https://www.panewslab.com/zh/articles/5fb30711-82b8-4d2f-b591-191abbb21dbc,PANews 8月2日消息，韩国KOSDAQ上市公司Bitmax（377030.KQ）在X平台发文宣布已增持56.0445枚比特币，使其总持有量达到500.123枚，位居韩国上市公司比特币持有量第一位，该公司表示将继续坚持积累比特币的战略。,2025-08-02,True,投资参考,关注Bitmax的比特币增持动态，评估市场信心
PANews_快讯,“内幕巨鲸”开设20倍杠杆XRP和SOL空单，总价值1707万美元,https://www.panewslab.com/zh/articles/2a50da8d-f2ef-4a5a-b1ed-134f6251b44b,PANews 8月2日消息，据链上分析师Ai姨（@ai_9684xtpa）监测，&ldquo;内幕巨鲸&rdquo;开设20倍杠杆XRP和SOL空单，分别开出 3333333 XRP 和 44444.44 SOL 的空单，总价值 1707 万美元，开仓价分别为2.93美元和164.18美元；目前四个...,2025-08-02,True,风险预警,警惕高杠杆空单对市场的影响，避免盲目跟风
PANews_快讯,英国FCA：对零售客户参与加密资产衍生品交易的禁令将继续有效,https://www.panewslab.com/zh/articles/0d2b1162-c948-4a3a-8964-1b05c1e2d866,PANews 8月2日消息，据智通财经报道，英国金融监管机构英国金融行为监管局（FCA）此前宣布将开放零售投资者参与加密ETN交易，但该机构澄清对零售客户参与加密资产衍生品交易的禁令将继续有效，同时将继续监测市场发展并考虑其对高风险投资的处理方式。,2025-08-02,True,行业趋势 / 热点叙事,关注英国FCA政策变化，评估其对衍生品市场的影响
PANews_快讯,Fundamental Global成立信托基金FG CVR Trust并更名为FG Nexus,https://www.panewslab.com/zh/articles/07230b7d-1b47-459b-b408-99a59b6e803e,PANews 8月2日消息，据Globenewswire报道，纳斯达克上市公司Fundamental Global宣布在达成2亿美元私募融资最终协议将更名为FG Nexus，旨在更好支持其推出以太坊财务战略，旨在探索区块链创新和现实世界资产代币化（RWA）市场。此外，该公司还宣布成立信托基金FG C...,2025-08-02,True,行业趋势 / 热点叙事,关注FG Nexus的RWA战略，探索代币化资产机会
PANews_快讯,灰度宣布BTCC和BPI派息周期从每月一次调整为每两周一次,https://www.panewslab.com/zh/articles/c450ac79-2344-4e5a-b053-23a21bd6fa23,PANews 8月2日消息，据官方消息，灰度宣布即日起灰度比特币备兑看涨期权ETF（代码：BTCC）和灰度比特币溢价收益ETF（代码：BPI）的派息周期将从每月调整为每两周一次，两只基金的派息日期均为每月15日和30日，具体日期以标准工作日惯例为准。,2025-08-02,True,交互机会,评估灰度ETF派息周期调整对投资策略的影响
PANews_快讯,币安Alpha上线OLAXBT (AIO),https://www.panewslab.com/zh/articles/6ee570df-a0bc-43ae-9199-24a5ca67facd,PANews 8月2日消息，据官方页面显示，币安Alpha已上线OLAXBT (AIO)。 合约地址：0xa22159faca8bf5c57a48888a2d4ddafc88e4ddeb,2025-08-02,True,交互机会,研究OLAXBT (AIO)的项目背景和潜力，考虑是否参与交易或投资
PANews_快讯,Securitize：贝莱德BUIDL基金迄今已支付超过6250万美元股息,https://www.panewslab.com/zh/articles/c1d12b96-a889-4f7c-9f46-f39acfe0a2e7,PANews 8月2日消息，代币化资产发行方Securitize在X平台发文表示，贝莱德BUIDL基金迄今已支付超过6250万美元股息，七月份支付股息规模达到930万美元，目前已在Aptos、Arbitrum、Avax、以太坊、Optimism、Polygon和Solana七条区块链上可用，其中Ap...,2025-08-02,True,行业趋势 / 热点叙事,了解贝莱德BUIDL基金的代币化资产进展，关注其在多链上的应用
PANews_快讯,矿企Bitdeer本周增持38枚BTC，总持仓达1675.9枚BTC,https://www.panewslab.com/zh/articles/30aa399f-df26-43d0-9f94-885a216c98c3,"比特币矿企 Bitdeer 发布每周更新，截至 8 月 1 日，其比特币持仓达 1,675.9 枚 BTC（不含客户存款）；产出 65.7 枚 BTC，售出 27.8 枚 BTC，净增加 38 枚 BTC。",2025-08-02,True,投资参考,关注Bitdeer的比特币持仓和挖矿情况，分析其对市场的影响
PANews_快讯,数据：过去7天超4.1万枚BTC流出CEX平台,https://www.panewslab.com/zh/articles/3bc46ccc-efda-49fb-b086-5b3d92471035,"据Coinglass最新数据显示，过去一周约有41,423.5枚比特币流出CEX平台，Coinbase Pro过去7天流出70,315.07枚比特币；13,020.73枚比特币流入Binance交易所；14,483.65枚比特币流入Kraken交易所。",2025-08-02,True,投资参考,分析比特币流出CEX平台的原因，评估市场情绪和潜在机会
PANews_快讯,某地址因458天前签署的网络钓鱼批准损失逾90万美元,https://www.panewslab.com/zh/articles/25cf883b-a841-42d9-ae9a-beb77ea982b4,"据 Scam Sniffer 监测，一名受害者因 458 天前签署的网络钓鱼批准损失了 908,551 美元。建议用户定期审查并撤销旧批准。",2025-08-02,True,风险预警,检查并撤销旧批准，避免类似网络钓鱼攻击的风险
PANews_快讯,数据：过去7天USDC流通量约减少11亿枚,https://www.panewslab.com/zh/articles/a67286ff-5850-4760-a114-2ff77fc4da3b,PANews 8月2日消息，据官方数据，截至7月31日的7天内，Circle发行约54亿USDC，赎回约64亿USDC，流通量约减少11亿枚。USDC总流通量为639亿枚，储备量约为642亿美元，其中现金约88亿美元，Circle Reserve Fund约持有554亿美元。,2025-08-02,True,行业趋势 / 热点叙事,分析USDC流通量减少的原因，关注稳定币市场的动态
PANews_快讯,数据：Pumpfun日收入创2024年5月以来新低,https://www.panewslab.com/zh/articles/dcfc41eb-ffe5-4db8-88a3-2271043af03d,"据 Defillama 数据显示，Pumpfun 日收入创 2024 年 5 月以来新低，达 251,788 美元。",2025-08-02,True,行业趋势 / 热点叙事,关注Pumpfun的收入变化，分析其市场表现和潜在原因
PANews_快讯,美联储威廉姆斯谈劳动力市场降温，谨慎对待9月降息预期,https://www.panewslab.com/zh/articles/7d6367a4-ea05-47b9-a5fb-acf3c49d75cf,美联储官员、鲍威尔盟友威廉姆斯表示，“过去一年，我所观察到的劳动力市场状况，可以用‘温和而渐进的降温’来形容，但整体仍处于稳健状态。”尽管7月份失业率仅小幅上升至4.2%（6月为4.1%），但相对疲软的非农数据为鲍威尔推动降息共识提供了空间。,2025-08-02,True,行业趋势 / 热点叙事,关注美联储的货币政策动向，评估对加密货币市场的影响
PANews_快讯,Gate Group拿下美国23个州牌照，正式上线Gate US交易平台,https://www.panewslab.com/zh/articles/463de30d-5759-4b7e-bf48-bf1e9e3d32ab,此前，Gate Group 已在立陶宛、阿根廷、马耳他、意大利、巴哈马、直布罗陀以及中国香港等司法辖区获得或完成相关监管注册、牌照申请、授权或审批。今年，Gate 旗下主体 Gate Technology FZE 已在迪拜 VARA 的监管与监督下获得 VASP 牌照；去年，Gate Group 还完成了对日本持牌交易所的收购，进一步拓展了其全球合规网络。,2025-08-02,True,行业趋势 / 热点叙事,关注Gate Group的全球合规进展，评估其市场扩张策略
PANews_快讯,Coinbase将于8月15日暂停Function X (FX) 交易,https://www.panewslab.com/zh/articles/15da5fa9-b0f9-4c79-92aa-110b44c62063,据官方公告，Coinbase 将于 8 月 15 日（美国东部时间下午 2 点左右）暂停 Function X (FX) 的交易，因为该项目团队仍在 Coinbase 上暂停该资产的底层智能合约。,2025-08-02,True,风险预警,检查是否持有Function X (FX)，考虑在暂停交易前调整仓位
PANews_快讯,Plugman推出全新NFT系列并通过Element平台发售，总计5000枚,https://www.panewslab.com/zh/articles/2426l15e,"Plugman 是一个在 ZetaChain 上打造原生 IP 的实验性艺术项目，今天推出了全新 NFT 系列，总计 5,000 枚 NFT，将通过 Element 平台独家发售。",2025-08-02,True,交互机会,关注Plugman NFT系列的发售情况，评估ZetaChain上的原生IP潜力
PANews_快讯,黄立成凌晨加仓ETH、HYPE和PUMP后割肉，剩余仓位浮亏扩大至1850万美元,https://www.panewslab.com/zh/articles/4ef1cbe6-fc1c-455a-b4a4-4df8cd3f51e8,据 @ai_9684xtpa 监测，麻吉大哥黄立成凌晨先加仓再割肉，剩余仓位浮亏扩大至 1850 万美元。其凌晨 12 点至 4 点大盘快速下跌时对 ETH / HYPE / PUMP 都进行了一轮小幅加仓，5 点短时反弹后再次下探才选择割肉；目前还剩余总价值 1.49 亿美元的仓位，其中 ETH 已几乎持平 PUMP 的浮亏，超过 600 万美元。,2025-08-02,True,投资参考,分析黄立成的交易行为，评估ETH、HYPE和PUMP的市场风险
PANews_快讯,“内幕巨鲸”的BTC和ETH双开空单浮盈已超过585.9万美元,https://www.panewslab.com/zh/articles/6bf3b68f-3767-429a-9687-764be791e301,据 @ai_9684xtpa 监测，“内幕巨鲸”的 BTC & ETH 双开空单浮盈已超过 585.9 万美元。,2025-08-02,True,投资参考,关注“内幕巨鲸”的空单动向，分析BTC和ETH的市场趋势
